Player_id,Passing,Defending,Dribbling,Pace,Shooting,Physic
252371,83,78,90,80,86,85
239053,84,83,84,88,84,85
212622,89,83,84,72,74,79
235212,82,82,83,92,79,79
224232,84,81,86,80,78,76
208128,87,81,82,71,81,73
226268,84,79,82,80,78,77
239837,85,78,85,66,82,76
231866,86,86,84,65,80,85
194765,85,59,88,77,86,73
232656,78,79,83,90,76,83
212198,89,65,83,67,83,75
246191,81,57,87,85,87,79
231281,89,80,80,76,72,74
244675,80,70,85,76,83,82
210008,81,77,80,81,79,84
212616,83,76,83,75,78,83
241096,82,81,80,79,74,83
226161,78,78,81,89,79,82
209658,80,80,80,77,78,82
255253,86,75,90,72,80,70
209331,86,45,90,89,88,76
204923,80,76,80,74,80,76
234378,84,83,80,72,73,83
210514,84,78,84,83,73,74
228702,85,78,87,82,71,77
240638,82,77,85,79,79,77
236772,84,67,82,79,82,76
233419,85,53,87,91,84,75
246669,85,60,88,84,82,73
223848,81,78,81,62,80,88
251854,85,78,91,77,73,77
247851,84,79,84,66,75,81
231443,83,50,93,91,88,69
272834,80,82,84,74,71,83
246104,81,81,85,76,76,81
231478,75,51,84,81,88,83
192883,82,72,83,77,78,75
192985,92,65,84,66,83,72
240679,83,75,78,70,79,75
247635,83,58,88,86,80,78
210035,87,74,85,72,73,67
238074,82,81,77,76,71,81
208574,81,70,80,82,76,77
238216,80,79,78,75,76,84
225193,80,81,80,63,79,80
247090,85,73,81,68,75,75
209297,78,76,82,77,71,75
197445,82,82,79,68,71,75
226754,80,76,83,76,72,74
263205,72,69,79,93,77,90
243576,81,77,80,78,73,76
231747,81,37,92,97,90,76
222665,88,67,87,68,79,65
210411,82,70,85,78,71,75
243245,84,70,80,72,80,79
224334,77,71,81,76,69,80
237238,77,80,80,76,82,85
202126,83,48,82,64,92,82
248243,81,78,84,80,68,80
224293,87,77,77,57,75,76
246863,73,80,81,82,74,86
258648,77,79,79,78,72,76
210881,78,77,80,69,77,83
225201,79,65,84,84,77,69
208333,72,82,74,77,76,84
228251,80,73,80,75,77,73
240950,83,63,84,77,82,68
223334,77,82,81,74,73,90
252145,76,80,82,95,65,77
188545,79,44,85,74,89,84
247246,77,81,80,78,76,81
181458,81,69,79,75,80,75
243014,79,49,84,88,84,76
216393,85,75,80,54,79,72
195479,78,69,75,80,71,79
256790,80,66,90,80,82,65
